avatar,category,delivery_fee,delivery_time,distance,name,price_range,rating,url
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201709080900_6acb3edf-e2ba-4060-a83a-407701090478.jpg",Brasileira,2.0,60,3.15,Colonial Refeições Restaurante Beer,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/colonial-refeicoes-restaurante-beer-floradas-de-sao-jose/6acb3edf-e2ba-4060-a83a-407701090478
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201709090808_8c8a5970-9f15-469a-9763-8671f4c95b84.png",Variada,6.0,45,5.59,Padaria Uirá,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/padaria-uira-jardim-uira/8c8a5970-9f15-469a-9763-8671f4c95b84
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201709191243_c024f9c3-4b93-4e91-b1f2-ea9bc4ba3c7a.jpg",Brasileira,2.5,30,5.08,Marmitaria Skina Mineira,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/marmitaria-skina-mineira-parque-industrial/c024f9c3-4b93-4e91-b1f2-ea9bc4ba3c7a
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201709271029_f83ebb3b-eafd-4f63-9527-1d52739df1d1.jpg",Lanches,8.0,45,3.11,Player 1 Homemade Burger,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/player-1-homemade-burger-floradas-de-sao-jose/f83ebb3b-eafd-4f63-9527-1d52739df1d1
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201710161242_af68bfb2-b2f7-4923-af2b-1f67729670c2.jpg",Variada,8.0,45,9.82,Churrascaria Dutra Grill,CHEAPEST,0.0,https://www.ifood.com.br/delivery/jacarei-sp/churrascaria-dutra-grill-parque-meia-lua/af68bfb2-b2f7-4923-af2b-1f67729670c2
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201710290926_2232bb5a-1c68-4e89-b259-5536d73ffedc.png",Lanches,5.0,45,5.18,Flash Burguer,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/flash-burguer-conjunto-residencial-trinta-e-um-de-marco/2232bb5a-1c68-4e89-b259-5536d73ffedc
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201710231955_7ccc814d-adfa-4610-b7d4-de1bb430e742.png",Brasileira,0.0,60,2.71,Sabor & Prosa Restaurante e Porções,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/sabor--prosa-restaurante-e-porcoes-parque-residencial-aquarius/7ccc814d-adfa-4610-b7d4-de1bb430e742
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201711141051_ad854cfa-7c28-47e5-be3c-53be962d133e.png",Lanches,6.0,45,1.12,Drive Burger,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/drive-burger-vila-adyana/ad854cfa-7c28-47e5-be3c-53be962d133e
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/a67f533b-cf6e-4aef-942f-f0f3a7892c11/201801221830_img_2.jpg",Variada,3.0,20,6.92,Burgarelli Pizzaria e Lanchonete,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/burgarelli-pizzaria-e-lanchonete-bosque-dos-eucaliptos/a67f533b-cf6e-4aef-942f-f0f3a7892c11
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201711141101_3f5beed4-4084-41e4-8334-e6f157200a3a.jpg",Pizza,6.0,40,5.44,La Pizza,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/la-pizza-bosque-dos-eucaliptos/3f5beed4-4084-41e4-8334-e6f157200a3a
